Continente;ISO_alpha;Pais;Populacao;Mudanca anual;Mudanca Liquida;Densidade Demografica(KM);Area do terreno(KM);Migrantes(liq);Fert. Rate;Media idade;Pop urbana;Pop Rural;Populacao mundial (%)
Africa;NGA;Nigeria;206984347;2.58;5175990;226;910770;-60000.0;5.4;18;52;48;2.64
Asia;PAK;Pakistan;221612785;2.00;4327022;287;770880;-233379.0;3.6;23;35;65;2.83
Asia;IDN;Indonesia;274021604;1.07;2898047;151;1811570;-98955.0;2.3;30;56;44;3.51
America do Norte;MEX;Mexico;129166028;1.06;1357224;66;1943950;-60000.0;2.1;29;84;16;1.65
Asia;BGD;Bangladesh;164972348;1.01;1643222;1265;130170;-369501.0;2.1;28;39;61;2.11
Asia;IND;India;1382345085;0.99;13586631;464;2973190;-532687.0;2.2;28;35;65;17.70
America do Sul;BRA;Brazil;212821986;0.72;1509890;25;8358140;21200.0;1.7;33;88;12;2.73
America do Norte;USA;United States;331341050;0.59;1937734;36;9147420;954806.0;1.8;38;83;17;4.25
Asia;CHN;China;1440297825;0.39;5540090;153;9388211;-348399.0;1.7;38;61;39;18.47
Europe;RUS;Russia;145945524;0.04;62206;9;16376870;182456.0;1.8;40;74;26;1.87
